best_score,best_iter,seed,savename,batch_size,lr,dropout,depth,filter_size,n_filters,n_neurons,activation
0.5,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,1,3,128,64,relu
0.8805420830883794,1000,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.0, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.0001,0.0,1,2,64,16,elu
0.8797766019988242,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 16, 'lr': 0.001, 'filter_size': 1, 'dropout': 0.0, 'depth': 2, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.0,2,1,16,32,relu
0.5243698559670782,0,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 3, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.01,0.1,1,3,32,32,elu
0.8672778267685676,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 4, 'dropout': 0.2, 'depth': 1, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.01,0.2,1,4,64,32,relu
0.8829242602390751,400,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 3, 'dropout': 0.2, 'depth': 2, 'batch_size': 32, 'activation': 'elu'}_seed=0.pth.tar",32,0.0001,0.2,2,3,128,32,elu
0.8785702038016853,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 64, 'lr': 0.001, 'filter_size': 2, 'dropout': 0.2, 'depth': 1, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.001,0.2,1,2,64,16,relu
0.8719503233392122,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 64, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.1, 'depth': 2, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.01,0.1,2,1,64,32,relu
0.8775597687634725,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 32, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.1, 'depth': 1, 'batch_size': 128, 'activation': 'relu'}_seed=0.pth.tar",128,0.0001,0.1,1,2,32,16,relu
0.872085048010974,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.1, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.01,0.1,1,2,16,128,relu
0.8756552518126592,700,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 16, 'n_filters': 16, 'lr': 0.0001, 'filter_size': 2, 'dropout': 0.1, 'depth': 2, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.0001,0.1,2,2,16,16,relu
0.8716196355085245,100,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 16, 'lr': 0.01, 'filter_size': 2, 'dropout': 0.0, 'depth': 2, 'batch_size': 64, 'activation': 'relu'}_seed=0.pth.tar",64,0.01,0.0,2,2,16,128,relu
0.5677665098961395,0,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 32, 'n_filters': 32, 'lr': 0.01, 'filter_size': 1, 'dropout': 0.1, 'depth': 1, 'batch_size': 16, 'activation': 'elu'}_seed=0.pth.tar",16,0.01,0.1,1,1,32,32,elu
0.8767575445816187,200,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 64, 'n_filters': 128, 'lr': 0.001, 'filter_size': 3, 'dropout': 0.0, 'depth': 1, 'batch_size': 32, 'activation': 'relu'}_seed=0.pth.tar",32,0.001,0.0,1,3,128,64,relu
0.8823363707622967,500,0,"checkpoint/model=CNN_V3.outcome=mortality.T=48.0.dt=1.0/{'n_neurons': 128, 'n_filters': 128, 'lr': 0.0001, 'filter_size': 3, 'dropout': 0.8, 'depth': 2, 'batch_size': 16, 'activation': 'relu'}_seed=0.pth.tar",16,0.0001,0.8,2,3,128,128,relu
